animal_id,sex,study_site,deploy_on_longitude,deploy_on_latitude,deploy_off_type
MO_car161,f,Moberly,-122.474256479006,55.7780167046009,other
QU_car166,f,Quintette,-121.448417648764,55.0426427464127,dead
QU_car163,f,Quintette,-121.774795765549,55.1135344299668,dead
QU_car167,f,Quintette,-121.374237540414,55.1490304896156,other
MO_car150,f,Moberly,-122.476338227933,55.7892213977715,other
SC_car171,f,Scott,-123.341770286363,55.8716632161694,other
SC_car170,f,Scott,-123.355710225107,55.8599070183438,dead
SC_car168,f,Scott,-123.354480492794,55.859955492116,other
SC_car169,f,Scott,-123.355487301426,55.8599885293039,dead
QU_car138,f,Quintette,-120.97547630179,54.8725096075588,dead
QU_car173,f,Quintette,-121.024343622586,54.8523624858883,dead
QU_car172,f,Quintette,-121.012452495389,54.8356655496432,removal
QU_car137,f,Quintette,-121.01515831582,54.8646077279944,other
QU_car175,f,Quintette,-121.24885363253328,54.5585241157229,other
QU_car159,f,Quintette,-121.24885363253328,54.5585241157229,dead
NA_car178,f,Narraway,-120.41484303965746,55.06373497176429,other
NA_car177,f,Narraway,-120.41484303965746,55.06373497176429,other
NA_car179,f,Narraway,-120.41484303965746,55.06373497176429,other
QU_car183,f,Quintette,-121.24885363253328,54.5585241157229,dead
QU_car181,f,Quintette,-121.24885363253328,54.5585241157229,other
QU_car180,f,Quintette,-121.24885363253328,54.5585241157229,dead
QU_car182,f,Quintette,-121.24885363253328,54.5585241157229,other
KE_car186,f,Kennedy,-122.61009499488114,55.22062077336121,other
KE_car187,f,Kennedy,-122.61009499488114,55.22062077336121,dead
KE_car185,f,Kennedy,-122.61009499488114,55.22062077336121,other
KE_car156,f,Kennedy,-122.61009499488114,55.22062077336121,other
KE_car184,f,Kennedy,-122.61009499488114,55.22062077336121,dead
KE_car155,f,Kennedy,-122.61009499488114,55.22062077336121,other
QU_car188,f,Quintette,-121.24885363253328,54.5585241157229,other
QU_car190,f,Quintette,-121.24885363253328,54.5585241157229,other
QU_car192,f,Quintette,-121.24885363253328,54.5585241157229,other
QU_car189,f,Quintette,-121.24885363253328,54.5585241157229,other
QU_car191,f,Quintette,-121.24885363253328,54.5585241157229,other
QU_car172,f,Quintette,-121.24885363253328,54.5585241157229,other
QU_car194,f,Quintette,-121.24885363253328,54.5585241157229,other
QU_car197,f,Quintette,-121.24885363253328,54.5585241157229,other
QU_car195,f,Quintette,-121.24885363253328,54.5585241157229,other
QU_car196,f,Quintette,-121.24885363253328,54.5585241157229,other
KE_car199,f,Kennedy,-122.61009499488114,55.22062077336121,unknown
KE_car200,f,Kennedy,-122.61009499488114,55.22062077336121,unknown
KE_car198,f,Kennedy,-122.61009499488114,55.22062077336121,unknown
